"Order";"Level";"Code";"Parent";"Description";"This item includes";"This item also includes";"Rulings";"This item excludes"
"1208792";"1";"A";;"PRODUCTS OF AGRICULTURE, FORESTRY AND FISHING";;;;
"1208793";"2";"01";"A";"Products of agriculture, hunting and related services";;;;
"1208794";"3";"01.1";"01";"Non-perennial crops";;;;
"1208795";"4";"01.11";"01.1";"Cereals (except rice), leguminous crops and oil seeds";;;;
"1208796";"5";"01.11.1";"01.11";"Wheat";;;;
"1208797";"6";"01.11.11";"01.11.1";"Durum wheat";;;;
"1208798";"6";"01.11.12";"01.11.1";"Wheat, except durum wheat";;;;
"1208799";"5";"01.11.2";"01.11";"Maize";;;;
"1208800";"6";"01.11.20";"01.11.2";"Maize";;;;
"1208801";"5";"01.11.3";"01.11";"Barley, rye and oats";;;;
"1208802";"6";"01.11.31";"01.11.3";"Barley";;;;
"1208803";"6";"01.11.32";"01.11.3";"Rye";;;;
"1208804";"6";"01.11.33";"01.11.3";"Oats";;;;
"1208805";"5";"01.11.4";"01.11";"Sorghum, millet and other cereals";;;;
"1208806";"6";"01.11.41";"01.11.4";"Sorghum";;;;
"1208807";"6";"01.11.42";"01.11.4";"Millet";;;;
"1208808";"6";"01.11.43";"01.11.4";"Triticale";;;;
"1208809";"6";"01.11.49";"01.11.4";"Other cereals";;;;
"1208810";"5";"01.11.5";"01.11";"Cereals straw and husks";;;;
"1208811";"6";"01.11.50";"01.11.5";"Cereals straw and husks";;;;
"1208812";"5";"01.11.6";"01.11";"Green leguminous vegetables";;;;
"1208813";"6";"01.11.61";"01.11.6";"Beans, green";;;;
"1208814";"6";"01.11.62";"01.11.6";"Peas, green";;;;
"1208815";"6";"01.11.69";"01.11.6";"Other green leguminous vegetables";;;;
"1208816";"5";"01.11.7";"01.11";"Dried leguminous vegetables";;;;
"1208817";"6";"01.11.71";"01.11.7";"Beans, dry";;;;
"1208818";"6";"01.11.72";"01.11.7";"Broad beans, dry";;;;
"1208819";"6";"01.11.73";"01.11.7";"Chick peas, dry";;;;
"1208820";"6";"01.11.74";"01.11.7";"Lentils, dry";;;;
"1208821";"6";"01.11.75";"01.11.7";"Peas, dry";;;;
"1208822";"6";"01.11.76";"01.11.7";"Cow peas";;;;
"1208823";"6";"01.11.77";"01.11.7";"Pigeon peas, dry";;;;
"1208824";"6";"01.11.79";"01.11.7";"Pulses (dried leguminous vegetables) n.e.c.";;;;
"1208825";"5";"01.11.8";"01.11";"Soya beans and groundnuts";;;;
"1208826";"6";"01.11.81";"01.11.8";"Soya beans";;;;
"1208827";"6";"01.11.82";"01.11.8";"Groundnuts, in shell";;;;
"1208828";"5";"01.11.9";"01.11";"Other oil seeds";;;;
"1208829";"6";"01.11.91";"01.11.9";"Lin seed";;;;
"1208830";"6";"01.11.92";"01.11.9";"Mustard seed";;;;
"1208831";"6";"01.11.93";"01.11.9";"Rape or colza seed";;;;
"1208832";"6";"01.11.94";"01.11.9";"Sesame seed";;;;
"1208833";"6";"01.11.95";"01.11.9";"Sunflower seed";;;;
"1208834";"6";"01.11.96";"01.11.9";"Castor oil seeds";;;;
"1208835";"6";"01.11.99";"01.11.9";"Other oil seeds n.e.c.";;;;
"1208836";"4";"01.12";"01.1";"Rice, not husked";;;;
"1208837";"5";"01.12.1";"01.12";"Rice, not husked";;;;
"1208838";"6";"01.12.10";"01.12.1";"Rice, not husked";;;;
"1208839";"4";"01.13";"01.1";"Vegetables and melons, roots and tubers";;;;
"1208840";"5";"01.13.1";"01.13";"Leafy or stem vegetables";;;;
"1208841";"6";"01.13.11";"01.13.1";"Asparagus";;;;
"1208842";"6";"01.13.12";"01.13.1";"Cabbages";;;;
"1208843";"6";"01.13.13";"01.13.1";"Cauliflowers and broccoli";;;;
"1208844";"6";"01.13.14";"01.13.1";"Lettuce";;;;
"1208845";"6";"01.13.15";"01.13.1";"Chicory";;;;
"1208846";"6";"01.13.16";"01.13.1";"Spinach";;;;
"1208847";"6";"01.13.17";"01.13.1";"Artichokes";;;;
"1208848";"6";"01.13.19";"01.13.1";"Other leafy or stem vegetables";;;;
"1208849";"5";"01.13.2";"01.13";"Melons";;;;
"1208850";"6";"01.13.21";"01.13.2";"Watermelons";;;;
"1208851";"6";"01.13.29";"01.13.2";"Other melons";;;;
"1208852";"5";"01.13.3";"01.13";"Other fruit-bearing vegetables";;;;
"1208853";"6";"01.13.31";"01.13.3";"Chillies and peppers, green (only capsicum)";;;;
"1208854";"6";"01.13.32";"01.13.3";"Cucumbers and gherkins";;;;
"1208855";"6";"01.13.33";"01.13.3";"Eggplants (aubergines)";;;;
"1208856";"6";"01.13.34";"01.13.3";"Tomatoes";;;;
"1208857";"6";"01.13.39";"01.13.3";"Other fruit-bearing vegetables n.e.c.";;;;
"1208858";"5";"01.13.4";"01.13";"Root, bulb or tuberous vegetables";;;;
"1208859";"6";"01.13.41";"01.13.4";"Carrots and turnips";;;;
"1208860";"6";"01.13.42";"01.13.4";"Garlic";;;;
"1208861";"6";"01.13.43";"01.13.4";"Onions";;;;
"1208862";"6";"01.13.44";"01.13.4";"Leeks and other alliaceous vegetables";;;;
"1208863";"6";"01.13.49";"01.13.4";"Other root, bulb or tuberous vegetables (without high starch or inulin content)";;;;
"1208864";"5";"01.13.5";"01.13";"Edible roots and tubers with high starch or inulin content";;;;
"1208865";"6";"01.13.51";"01.13.5";"Potatoes";;;;
"1208866";"6";"01.13.52";"01.13.5";"Sweet potatoes";;;;
"1208867";"6";"01.13.53";"01.13.5";"Cassava";;;;
"1208868";"6";"01.13.54";"01.13.5";"Taro";;;;
"1208869";"6";"01.13.59";"01.13.5";"Other edible roots and tubers with high starch or inulin content";;;;
"1208870";"5";"01.13.6";"01.13";"Vegetable seeds, except beet seeds";;;;
"1208871";"6";"01.13.60";"01.13.6";"Vegetable seeds, except beet seeds";;;;
"1208872";"5";"01.13.7";"01.13";"Sugar beet and sugar beet seeds";;;;
"1208873";"6";"01.13.71";"01.13.7";"Sugar beet";;;;
"1208874";"6";"01.13.72";"01.13.7";"Sugar beet seeds";;;;
"1208875";"5";"01.13.8";"01.13";"Mushrooms and truffles";;;;
"1208876";"6";"01.13.80";"01.13.8";"Mushrooms and truffles";;;;
"1208877";"5";"01.13.9";"01.13";"Vegetables, fresh, n.e.c.";;;;
"1208878";"6";"01.13.90";"01.13.9";"Vegetables, fresh, n.e.c.";;;;
"1208879";"4";"01.14";"01.1";"Sugar cane";;;;
"1208880";"5";"01.14.1";"01.14";"Sugar cane";;;;
"1208881";"6";"01.14.10";"01.14.1";"Sugar cane";;;;
"1208882";"4";"01.15";"01.1";"Unmanufactured tobacco";;;;
"1208883";"5";"01.15.1";"01.15";"Unmanufactured tobacco";;;;
"1208884";"6";"01.15.10";"01.15.1";"Unmanufactured tobacco";;;;
"1208885";"4";"01.16";"01.1";"Fibre crops";;;;
"1208886";"5";"01.16.1";"01.16";"Fibre crops";;;;
"1208887";"6";"01.16.11";"01.16.1";"Cotton, whether or not ginned";;;;
"1208888";"6";"01.16.12";"01.16.1";"Jute, kenaf and other textile bast fibres, raw or retted, except flax, true hemp and ramie";;;;
"1208889";"6";"01.16.19";"01.16.1";"Flax, true hemp and raw fibre crops n.e.c.";;;;
"1208890";"4";"01.19";"01.1";"Other non-perennial crops";;;;
"1208891";"5";"01.19.1";"01.19";"Forage crops";;;;
"1208892";"6";"01.19.10";"01.19.1";"Forage crops";;;;
"1208893";"5";"01.19.2";"01.19";"Cut flowers and flower buds; flower seeds";;;;
"1208894";"6";"01.19.21";"01.19.2";"Cut flowers and flower buds";;;;
"1208895";"6";"01.19.22";"01.19.2";"Flower seeds";;;;
"1208896";"5";"01.19.3";"01.19";"Beet seeds, seeds for forage plants; other raw vegetable materials";;;;
"1208897";"6";"01.19.31";"01.19.3";"Beet seeds (excluding sugar beet seeds) and seeds for forage plants";;;;
"1208898";"6";"01.19.39";"01.19.3";"Raw vegetable materials n.e.c.";;;;
"1208899";"3";"01.2";"01";"Perennial crops";;;;
"1208900";"4";"01.21";"01.2";"Grapes";;;;
"1208901";"5";"01.21.1";"01.21";"Grapes";;;;
"1208902";"6";"01.21.11";"01.21.1";"Table grapes";;;;
"1208903";"6";"01.21.12";"01.21.1";"Other grapes, fresh";;;;
"1208904";"4";"01.22";"01.2";"Tropical and subtropical fruits";;;;
"1208905";"5";"01.22.1";"01.22";"Tropical and subtropical fruits";;;;
"1208906";"6";"01.22.11";"01.22.1";"Avocados";;;;
"1208907";"6";"01.22.12";"01.22.1";"Bananas, plantains and similar";;;;
"1208908";"6";"01.22.13";"01.22.1";"Dates";;;;
"1208909";"6";"01.22.14";"01.22.1";"Figs";;;;
