"Order";"Level";"Code";"Parent";"Description"
"681521";"1";"00";;"IMPORTANT REMARK: This classification has been uploaded in RAMON for the specific needs of the ""Correspondence tables"" section of the server. The sole official version of this classification is to be found on the United Nations Web site. On this site you will also find much more information on this classification (for instance, other linguistic versions, detailed explanatory notes, rulings, etc.)."
"681522";"1";"0";;"Agriculture, forestry and fishery products"
"681523";"2";"01";"0";"Products of agriculture, horticulture and market gardening"
"681524";"3";"011";"01";"Cereals"
"681525";"4";"0111";"011";"Wheat"
"681526";"5";"01111";"0111";"Wheat, seed"
"681527";"5";"01112";"0111";"Wheat, other"
"681528";"4";"0112";"011";"Maize (corn)"
"681529";"5";"01121";"0112";"Maize (corn), seed"
"681530";"5";"01122";"0112";"Maize (corn), other"
"681531";"4";"0113";"011";"Rice"
"681532";"5";"01131";"0113";"Rice, seed"
"681533";"5";"01132";"0113";"Rice paddy, other (not husked)"
"681534";"4";"0114";"011";"Sorghum"
"681535";"5";"01141";"0114";"Sorghum, seed"
"681536";"5";"01142";"0114";"Sorghum, other"
"681537";"4";"0115";"011";"Barley"
"681538";"5";"01151";"0115";"Barley, seed"
"681539";"5";"01152";"0115";"Barley, other"
"681540";"4";"0116";"011";"Rye"
"681541";"5";"01161";"0116";"Rye, seed"
"681542";"5";"01162";"0116";"Rye, other"
"681543";"4";"0117";"011";"Oats"
"681544";"5";"01171";"0117";"Oats, seed"
"681545";"5";"01172";"0117";"Oats, other"
"681546";"4";"0118";"011";"Millet"
"681547";"5";"01181";"0118";"Millet, seed"
"681548";"5";"01182";"0118";"Millet, other"
"681549";"4";"0119";"011";"Other cereals"
"681550";"5";"01190";"0119";"Other cereals"
"681551";"3";"012";"01";"Vegetables"
"681552";"4";"0121";"012";"Leafy or stem vegetables"
"681553";"5";"01211";"0121";"Asparagus"
"681554";"5";"01212";"0121";"Cabbages"
"681555";"5";"01213";"0121";"Cauliflowers and broccoli"
"681556";"5";"01214";"0121";"Lettuce and chicory"
"681557";"5";"01215";"0121";"Spinach"
"681558";"5";"01216";"0121";"Artichokes"
"681559";"5";"01219";"0121";"Other leafy or stem vegetables"
"681560";"4";"0122";"012";"Melons"
"681561";"5";"01221";"0122";"Watermelons"
"681562";"5";"01229";"0122";"Cantaloupes and other melons"
"681563";"4";"0123";"012";"Fruit-bearing vegetables"
"681564";"5";"01231";"0123";"Chillies and peppers, green (only capsicum)"
"681565";"5";"01232";"0123";"Cucumbers and gherkins"
"681566";"5";"01233";"0123";"Eggplants (aubergines)"
"681567";"5";"01234";"0123";"Tomatoes"
"681568";"5";"01235";"0123";"Pumpkins, squash and gourds"
"681569";"5";"01239";"0123";"Other fruit-bearing vegetables"
"681570";"4";"0124";"012";"Green leguminous vegetables"
"681571";"5";"01241";"0124";"Beans, green"
"681572";"5";"01242";"0124";"Peas, green"
"681573";"5";"01249";"0124";"Other green leguminous vegetables"
"681574";"4";"0125";"012";"Root, bulb or tuberous vegetables"
"681575";"5";"01251";"0125";"Carrots and turnips"
"681576";"5";"01252";"0125";"Green garlic"
"681577";"5";"01253";"0125";"Onions"
"681578";"5";"01254";"0125";"Leeks and other alliaceous vegetables"
"681579";"5";"01259";"0125";"Other root, bulb and tuberous vegetables, n.e.c."
"681580";"4";"0126";"012";"Vegetable seeds, except beet seeds"
"681581";"5";"01260";"0126";"Vegetable seeds, except beet seeds"
"681582";"4";"0127";"012";"Mushrooms and truffles"
"681583";"5";"01270";"0127";"Mushrooms and truffles"
"681584";"4";"0129";"012";"Vegetables, fresh, n.e.c."
"681585";"5";"01290";"0129";"Vegetables, fresh, n.e.c."
"681586";"3";"013";"01";"Fruit and nuts"
"681587";"4";"0131";"013";"Tropical and subtropical fruits"
"681588";"5";"01311";"0131";"Avocados"
"681589";"5";"01312";"0131";"Bananas"
"681590";"5";"01313";"0131";"Plantains and others"
"681591";"5";"01314";"0131";"Dates"
"681592";"5";"01315";"0131";"Figs"
