"Order";"Level";"Code";"Parent";"Description"
"1456413";"1";"00";;"IMPORTANT REMARK: This classification has been uploaded in RAMON for the specific needs of the ""Correspondence tables"" section of the server. The sole official version of this classification is to be found on the United Nations Web site. On this site you will also find much more information on this classification (for instance, other linguistic versions, detailed explanatory notes, rulings, etc.)."
"1456414";"1";"0";;"Agriculture, forestry and fishery products"
"1456415";"2";"01";"0";"Products of agriculture, horticulture and market gardening"
"1456416";"3";"011";"01";"Cereals"
"1456417";"4";"0111";"011";"Wheat"
"1456418";"5";"01111";"0111";"Wheat, seed"
"1456419";"5";"01112";"0111";"Wheat, other"
"1456420";"4";"0112";"011";"Maize (corn)"
"1456421";"5";"01121";"0112";"Maize (corn), seed"
"1456422";"5";"01122";"0112";"Maize (corn), other"
"1456423";"4";"0113";"011";"Rice"
"1456424";"5";"01131";"0113";"Rice, seed"
"1456425";"5";"01132";"0113";"Rice paddy, other (not husked)"
"1456426";"4";"0114";"011";"Sorghum"
"1456427";"5";"01141";"0114";"Sorghum, seed"
"1456428";"5";"01142";"0114";"Sorghum, other"
"1456429";"4";"0115";"011";"Barley"
"1456430";"5";"01151";"0115";"Barley, seed"
"1456431";"5";"01152";"0115";"Barley, other"
"1456432";"4";"0116";"011";"Rye"
"1456433";"5";"01161";"0116";"Rye, seed"
"1456434";"5";"01162";"0116";"Rye, other"
"1456435";"4";"0117";"011";"Oats"
"1456436";"5";"01171";"0117";"Oats, seed"
"1456437";"5";"01172";"0117";"Oats, other"
"1456438";"4";"0118";"011";"Millet"
"1456439";"5";"01181";"0118";"Millet, seed"
"1456440";"5";"01182";"0118";"Millet, other"
"1456441";"4";"0119";"011";"Other cereals"
"1456442";"5";"01191";"0119";"Triticale"
"1456443";"5";"01192";"0119";"Buckwheat"
"1456444";"5";"01193";"0119";"Fonio"
"1456445";"5";"01194";"0119";"Quinoa"
"1456446";"5";"01195";"0119";"Canary seed"
"1456447";"5";"01199";"0119";"Other cereals n.e.c."
"1456448";"3";"012";"01";"Vegetables"
"1456449";"4";"0121";"012";"Leafy or stem vegetables"
"1456450";"5";"01211";"0121";"Asparagus"
"1456451";"5";"01212";"0121";"Cabbages"
"1456452";"5";"01213";"0121";"Cauliflowers and broccoli"
"1456453";"5";"01214";"0121";"Lettuce and chicory"
"1456454";"5";"01215";"0121";"Spinach"
"1456455";"5";"01216";"0121";"Artichokes"
"1456456";"5";"01219";"0121";"Other leafy or stem vegetables"
"1456457";"4";"0122";"012";"Melons"
"1456458";"5";"01221";"0122";"Watermelons"
"1456459";"5";"01229";"0122";"Cantaloupes and other melons"
"1456460";"4";"0123";"012";"Fruit-bearing vegetables"
"1456461";"5";"01231";"0123";"Chillies and peppers, green (""Capsicum"" spp. and ""Pimenta"" spp.)"
"1456462";"5";"01232";"0123";"Cucumbers and gherkins"
"1456463";"5";"01233";"0123";"Eggplants (aubergines)"
"1456464";"5";"01234";"0123";"Tomatoes"
"1456465";"5";"01235";"0123";"Pumpkins, squash and gourds"
"1456466";"5";"01239";"0123";"Other fruit-bearing vegetables"
"1456467";"4";"0124";"012";"Green leguminous vegetables"
"1456468";"5";"01241";"0124";"Beans, green"
"1456469";"5";"01242";"0124";"Peas, green"
"1456470";"5";"01243";"0124";"Broad beans and horse beans, green"
"1456471";"5";"01249";"0124";"Other green leguminous vegetables"
"1456472";"4";"0125";"012";"Root, bulb or tuberous vegetables"
"1456473";"5";"01251";"0125";"Carrots and turnips"
"1456474";"5";"01252";"0125";"Green garlic"
"1456475";"5";"01253";"0125";"Onions"
"1456476";"5";"01254";"0125";"Leeks and other alliaceous vegetables"
"1456477";"5";"01259";"0125";"Other root, bulb and tuberous vegetables, n.e.c."
"1456478";"4";"0126";"012";"Vegetable seeds, except beet seeds"
"1456479";"5";"01260";"0126";"Vegetable seeds, except beet seeds"
"1456480";"4";"0127";"012";"Mushrooms and truffles"
"1456481";"5";"01270";"0127";"Mushrooms and truffles"
"1456482";"4";"0129";"012";"Vegetables, fresh, n.e.c."
"1456483";"5";"01290";"0129";"Vegetables, fresh, n.e.c."
"1456484";"3";"013";"01";"Fruits and nuts"
"1456485";"4";"0131";"013";"Tropical and subtropical fruits"
"1456486";"5";"01311";"0131";"Avocados"
"1456487";"5";"01312";"0131";"Bananas"
"1456488";"5";"01313";"0131";"Plantains and cooking bananas"
"1456489";"5";"01314";"0131";"Dates"
"1456490";"5";"01315";"0131";"Figs"
"1456491";"5";"01316";"0131";"Mangoes, guavas and mangosteens"
"1456492";"5";"01317";"0131";"Papayas"
"1456493";"5";"01318";"0131";"Pineapples"
"1456494";"5";"01319";"0131";"Other tropical and subtropical fruits, n.e.c."
"1456495";"4";"0132";"013";"Citrus fruits"
"1456496";"5";"01321";"0132";"Pomelos and grapefruits"
"1456497";"5";"01322";"0132";"Lemons and limes"
"1456498";"5";"01323";"0132";"Oranges"
"1456499";"5";"01324";"0132";"Tangerines, mandarins, clementines"
"1456500";"5";"01329";"0132";"Other citrus fruit, n.e.c."
"1456501";"4";"0133";"013";"Grapes"
"1456502";"5";"01330";"0133";"Grapes"
"1456503";"4";"0134";"013";"Pome fruits and stone fruits"
"1456504";"5";"01341";"0134";"Apples"
"1456505";"5";"01342";"0134";"Pears and quinces"
"1456506";"5";"01343";"0134";"Apricots"
"1456507";"5";"01344";"0134";"Cherries"
"1456508";"5";"01345";"0134";"Peaches and nectarines"
"1456509";"5";"01346";"0134";"Plums and sloes"
"1456510";"5";"01349";"0134";"Other pome fruits and stone fruits"
"1456511";"4";"0135";"013";"Berries and other fruits"
"1456512";"5";"01351";"0135";"Currants and gooseberries"
"1456513";"5";"01352";"0135";"Kiwi fruit"
"1456514";"5";"01353";"0135";"Raspberries, blackberries, mulberries and loganberries"
"1456515";"5";"01354";"0135";"Strawberries"
"1456516";"5";"01355";"0135";"Other berries; fruits of the genus ""Vaccinium"""
"1456517";"5";"01356";"0135";"Locust beans (carobs)"
"1456518";"5";"01359";"0135";"Other fruits, n.e.c."
"1456519";"4";"0136";"013";"Fruit seeds"
"1456520";"5";"01360";"0136";"Fruit seeds"
"1456521";"4";"0137";"013";"Nuts (excluding wild edible nuts and groundnuts), in shell"
"1456522";"5";"01371";"0137";"Almonds, in shell"
"1456523";"5";"01372";"0137";"Cashew nuts, in shell"
"1456524";"5";"01373";"0137";"Chestnuts, in shell"
"1456525";"5";"01374";"0137";"Hazelnuts, in shell"
"1456526";"5";"01375";"0137";"Pistachios, in shell"
"1456527";"5";"01376";"0137";"Walnuts, in shell"
"1456528";"5";"01377";"0137";"Brazil nuts, in shell"
"1456529";"5";"01379";"0137";"Other nuts (excluding wild edible nuts and groundnuts), in shell"
"1456530";"3";"014";"01";"Oilseeds and oleaginous fruits"
"1456531";"4";"0141";"014";"Soya beans"
"1456532";"5";"01411";"0141";"Soya beans, seed for planting"
"1456533";"5";"01412";"0141";"Soya beans, other"
"1456534";"4";"0142";"014";"Groundnuts, excluding shelled"
"1456535";"5";"01421";"0142";"Groundnuts, seed for planting"
"1456536";"5";"01422";"0142";"Groundnuts, in shell"
"1456537";"4";"0143";"014";"Cottonseed"
"1456538";"5";"01431";"0143";"Cottonseed, seed for planting"
"1456539";"5";"01432";"0143";"Cottonseed, other"
"1456540";"4";"0144";"014";"Other oilseeds"
"1456541";"5";"01441";"0144";"Linseed"
"1456542";"5";"01442";"0144";"Mustard seed"
"1456543";"5";"01443";"0144";"Rape or colza seed"
"1456544";"5";"01444";"0144";"Sesame seed"
"1456545";"5";"01445";"0144";"Sunflower seed"
"1456546";"5";"01446";"0144";"Safflower seed"
"1456547";"5";"01447";"0144";"Castor oil seeds"
"1456548";"5";"01448";"0144";"Poppy seed"
"1456549";"5";"01449";"0144";"Other oilseeds, n.e.c."
"1456550";"4";"0145";"014";"Olives"
"1456551";"5";"01450";"0145";"Olives"
"1456552";"4";"0146";"014";"Coconuts, in shell"
"1456553";"5";"01460";"0146";"Coconuts, in shell"
"1456554";"4";"0149";"014";"Other oleaginous fruits"
"1456555";"5";"01491";"0149";"Palm nuts and kernels"
"1456556";"5";"01492";"0149";"Copra"
"1456557";"5";"01499";"0149";"Other oleaginous fruits, n.e.c."
"1456558";"3";"015";"01";"Edible roots and tubers with high starch or inulin content"
"1456559";"4";"0151";"015";"Potatoes"
"1456560";"5";"01510";"0151";"Potatoes"
"1456561";"4";"0152";"015";"Cassava"
"1456562";"5";"01520";"0152";"Cassava"
"1456563";"4";"0153";"015";"Sweet potatoes"
"1456564";"5";"01530";"0153";"Sweet potatoes"
"1456565";"4";"0154";"015";"Yams"
"1456566";"5";"01540";"0154";"Yams"
"1456567";"4";"0155";"015";"Taro"
"1456568";"5";"01550";"0155";"Taro"
