"Order";"Level";"Code";"Parent";"Description"
"397162";"1";"00";;"IMPORTANT REMARK: This classification has been uploaded in RAMON for the specific needs of the ""Correspondence tables"" section of the server. The sole official version of this classification is to be found on the United Nations Web site. On this site you will also find much more information on this classification (for instance, other linguistic versions, detailed explanatory notes, rulings, etc.)."
"397163";"1";"A";;"Agriculture, hunting and forestry"
"397164";"2";"01";"A";"Agriculture, hunting and related service activities"
"397165";"3";"011";"01";"Growing of crops; market gardening; horticulture"
"397166";"4";"0111";"011";"Growing of cereals and other crops n.e.c."
"397167";"4";"0112";"011";"Growing of vegetables, horticultural specialties and nursery products"
"397168";"4";"0113";"011";"Growing of fruit, nuts, beverage and spice crops"
"397169";"3";"012";"01";"Farming of animals"
"397170";"4";"0121";"012";"Farming of cattle, sheep, goats, horses, asses, mules and hinnies; dairy farming"
"397171";"4";"0122";"012";"Other animal farming; production of animal products n.e.c."
"397172";"3";"013";"01";"Growing of crops combined with farming of animals (mixed farming)"
"397173";"4";"0130";"013";"Growing of crops combined with farming of animals (mixed farming)"
"397174";"3";"014";"01";"Agricultural and animal husbandry service activities, except veterinary activities"
"397175";"4";"0140";"014";"Agricultural and animal husbandry service activities, except veterinary activities"
"397176";"3";"015";"01";"Hunting, trapping and game propagation including related service activities"
"397177";"4";"0150";"015";"Hunting, trapping and game propagation including related service activities"
"397178";"2";"02";"A";"Forestry, logging and related service activities"
"397179";"3";"020";"02";"Forestry, logging and related service activities"
"397180";"4";"0200";"020";"Forestry, logging and related service activities"
"397181";"1";"B";;"Fishing"
"397182";"2";"05";"B";"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
"397183";"3";"050";"05";"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
"397184";"4";"0500";"050";"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
"397185";"1";"C";;"Mining and quarrying"
"397186";"2";"10";"C";"Mining of coal and lignite; extraction of peat"
"397187";"3";"101";"10";"Mining and agglomeration of hard coal"
"397188";"4";"1010";"101";"Mining and agglomeration of hard coal"
"397189";"3";"102";"10";"Mining and agglomeration of lignite"
"397190";"4";"1020";"102";"Mining and agglomeration of lignite"
"397191";"3";"103";"10";"Extraction and agglomeration of peat"
"397192";"4";"1030";"103";"Extraction and agglomeration of peat"
"397193";"2";"11";"C";"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction excluding surveying"
"397194";"3";"111";"11";"Extraction of crude petroleum and natural gas"
"397195";"4";"1110";"111";"Extraction of crude petroleum and natural gas"
"397196";"3";"112";"11";"Service activities incidental to oil and gas extraction excluding surveying"
"397197";"4";"1120";"112";"Service activities incidental to oil and gas extraction excluding surveying"
"397198";"2";"12";"C";"Mining of uranium and thorium ores"
"397199";"3";"120";"12";"Mining of uranium and thorium ores"
"397200";"4";"1200";"120";"Mining of uranium and thorium ores"
"397201";"2";"13";"C";"Mining of metal ores"
"397202";"3";"131";"13";"Mining of iron ores"
"397203";"4";"1310";"131";"Mining of iron ores"
"397204";"3";"132";"13";"Mining of non-ferrous metal ores, except uranium and thorium ores"
"397205";"4";"1320";"132";"Mining of non-ferrous metal ores, except uranium and thorium ores"
"397206";"2";"14";"C";"Other mining and quarrying"
"397207";"3";"141";"14";"Quarrying of stone, sand and clay"
"397208";"4";"1410";"141";"Quarrying of stone, sand and clay"
"397209";"3";"142";"14";"Mining and quarrying n.e.c."
"397210";"4";"1421";"142";"Mining of chemical and fertilizer minerals"
"397211";"4";"1422";"142";"Extraction of salt"
"397212";"4";"1429";"142";"Other mining and quarrying n.e.c."
"397213";"1";"D";;"Manufacturing"
"397214";"2";"15";"D";"Manufacture of food products and beverages"
"397215";"3";"151";"15";"Production, processing and preservation of meat, fish, fruit, vegetables, oils and fats"
"397216";"4";"1511";"151";"Production, processing and preserving of meat and meat products"
"397217";"4";"1512";"151";"Processing and preserving of fish and fish products"
"397218";"4";"1513";"151";"Processing and preserving of fruit and vegetables"
"397219";"4";"1514";"151";"Manufacture of vegetable and animal oils and fats"
"397220";"3";"152";"15";"Manufacture of dairy products"
"397221";"4";"1520";"152";"Manufacture of dairy products"
"397222";"3";"153";"15";"Manufacture of grain mill products, starches and starch products, and prepared animal feeds"
"397223";"4";"1531";"153";"Manufacture of grain mill products"
"397224";"4";"1532";"153";"Manufacture of starches and starch products"
"397225";"4";"1533";"153";"Manufacture of prepared animal feeds"
"397226";"3";"154";"15";"Manufacture of other food products"
